customer_state,customer_city,order_month,total_orders,total_sales,avg_order_value
RJ,sao goncalo,2016-10-01,3,918.41,306.136666666667
RJ,barra mansa,2016-10-01,1,209.2,104.6
RJ,duque de caxias,2016-10-01,1,325.2,162.6
RJ,macae,2016-10-01,1,80.25,80.25
RJ,mesquita,2016-10-01,1,57.06,57.06
RJ,petropolis,2016-10-01,1,60.84,30.42
RN,parnamirim,2016-10-01,1,178.11,178.11
RN,natal,2016-10-01,2,1324.1,220.683333333333
RN,santa cruz,2016-10-01,1,82.36,41.18
RR,boa vista,2016-10-01,1,138.04,69.02
RS,santo angelo,2016-10-01,2,281.94,93.98
RS,panambi,2016-10-01,1,78.18,39.09
RS,porto alegre,2016-10-01,6,1724.67,156.788181818182
RS,parobe,2016-10-01,1,214.74,107.37
RS,condor,2016-10-01,1,51.05,51.05
RS,canoas,2016-10-01,1,113.17,113.17
RS,santo antonio da patrulha,2016-10-01,1,982.41,982.41
RS,santa cruz do sul,2016-10-01,1,124.66,62.33
RS,bage,2016-10-01,1,154.1,154.1
RS,novo hamburgo,2016-10-01,1,69.35,69.35
RS,uruguaiana,2016-10-01,1,504.38,252.19
RS,caxias do sul,2016-10-01,2,987.23,329.076666666667
RS,cacequi,2016-10-01,1,918.28,229.57
RS,tapejara,2016-10-01,1,304.24,152.12
RS,santa rosa,2016-10-01,1,45.7,45.7
RS,cachoeira do sul,2016-10-01,1,123.28,61.64
SC,gaspar,2016-10-01,1,44.49,44.49
SC,balneario barra do sul,2016-10-01,1,171.64,85.82
SC,sao jose,2016-10-01,2,835.84,208.96
SC,florianopolis,2016-10-01,1,307.02,153.51
SC,gravatal,2016-10-01,1,1569.6,784.8
SC,benedito novo,2016-10-01,1,299.08,74.77
SC,salto veloso,2016-10-01,1,214.98,214.98
SC,xanxere,2016-10-01,1,676.92,169.23
SC,faxinal dos guedes,2016-10-01,1,252.5,126.25
SE,sao francisco,2016-10-01,1,178.16,89.08
SE,aracaju,2016-10-01,1,159.98,79.99
SE,nossa senhora da gloria,2016-10-01,1,353.7,176.85
SP,pauliceia,2016-10-01,1,289.88,144.94
SP,suzano,2016-10-01,3,703.26,140.652
SP,maua,2016-10-01,2,660.2,220.066666666667
SP,vargem grande paulista,2016-10-01,1,2455.56,1227.78
SP,serra negra,2016-10-01,1,232.32,116.16
SP,mogi-guacu,2016-10-01,1,289.88,144.94
SP,hortolandia,2016-10-01,1,133.46,133.46
SP,sao jose dos campos,2016-10-01,2,410.12,102.53
SP,sertaozinho,2016-10-01,1,35.86,35.86
SP,leme,2016-10-01,1,630.48,315.24
SP,praia grande,2016-10-01,2,474.18,118.545
SP,sorocaba,2016-10-01,1,230.44,115.22
SP,tatui,2016-10-01,1,224.32,112.16
SP,guarulhos,2016-10-01,1,96.23,96.23
SP,lins,2016-10-01,1,59.72,29.86
SP,indaiatuba,2016-10-01,1,232.34,116.17
SP,osasco,2016-10-01,1,192.46,96.23
SP,itu,2016-10-01,1,175.06,87.53
SP,jacarei,2016-10-01,1,76.72,38.36
SP,sao caetano do sul,2016-10-01,1,235.72,117.86
SP,pirassununga,2016-10-01,1,161.65,161.65
SP,sao bernardo do campo,2016-10-01,3,287.66,47.9433333333333
SP,salto,2016-10-01,1,392.54,196.27
SP,charqueada,2016-10-01,1,289.88,144.94
SP,barueri,2016-10-01,1,322.48,161.24
SP,caraguatatuba,2016-10-01,1,140.99,140.99
SP,taubate,2016-10-01,3,278.0,69.5
SP,vargem,2016-10-01,1,40.86,40.86
SP,sao jose do rio pardo,2016-10-01,1,320.88,160.44
SP,poa,2016-10-01,1,182.32,91.16
SP,piracicaba,2016-10-01,1,232.34,116.17
SP,rinopolis,2016-10-01,1,151.86,75.93
SP,jaguariuna,2016-10-01,1,405.54,202.77
SP,aracariguama,2016-10-01,1,180.46,90.23
SP,santo andre,2016-10-01,3,731.9,146.38
SP,cotia,2016-10-01,1,81.9,40.95
SP,santos,2016-10-01,2,916.94,305.646666666667
SP,sao carlos,2016-10-01,2,185.6,46.4
SP,sao joao da boa vista,2016-10-01,1,267.49,267.49
SP,santa isabel,2016-10-01,1,115.22,115.22
SP,campinas,2016-10-01,7,1098.12,57.7957894736842
SP,sao sebastiao,2016-10-01,1,225.56,112.78
SP,ribeirao preto,2016-10-01,1,1069.96,267.49
SP,capivari,2016-10-01,1,173.84,86.92
SP,ferraz de vasconcelos,2016-10-01,1,338.46,169.23
SP,limeira,2016-10-01,2,1983.7,330.616666666667
SP,casa branca,2016-10-01,1,143.78,143.78
SP,rio das pedras,2016-10-01,1,51.92,25.96
SP,mongagua,2016-10-01,1,499.44,124.86
SP,diadema,2016-10-01,1,83.86,41.93
SP,campos do jordao,2016-10-01,1,45.72,22.86
SP,itaquaquecetuba,2016-10-01,1,1943.92,971.96
SP,valinhos,2016-10-01,1,198.46,99.23
SP,bebedouro,2016-10-01,1,239.58,119.79
SP,sao paulo,2016-10-01,35,7735.38,105.964109589041
PR,curitiba,2016-12-01,1,39.24,19.62
AC,rio branco,2017-01-01,2,723.14,180.785
AL,colonia leopoldina,2017-01-01,1,294.42,147.21
AL,penedo,2017-01-01,1,319.88,159.94
BA,teixeira de freitas,2017-01-01,2,519.2,86.5333333333333
BA,fatima,2017-01-01,1,114.1,114.1
BA,itaberaba,2017-01-01,1,127.34,63.67
BA,santo antonio de jesus,2017-01-01,1,748.56,374.28
BA,salvador,2017-01-01,6,2878.58,159.921111111111
BA,curaca,2017-01-01,1,101.6,50.8
BA,irece,2017-01-01,1,91.92,91.92
BA,itabuna,2017-01-01,1,374.98,187.49
BA,tucano,2017-01-01,1,137.6,137.6
BA,porto seguro,2017-01-01,1,314.0,78.5
BA,feira de santana,2017-01-01,3,420.79,105.1975
BA,ribeira do pombal,2017-01-01,1,395.18,197.59
BA,lauro de freitas,2017-01-01,1,238.78,119.39
BA,jequie,2017-01-01,1,160.42,160.42
BA,juazeiro,2017-01-01,2,766.52,255.506666666667
BA,inhambupe,2017-01-01,1,274.94,274.94
CE,caucaia,2017-01-01,1,58.74,58.74
CE,flores,2017-01-01,1,149.9,149.9
CE,fortaleza,2017-01-01,6,1375.59,137.559
CE,aurora,2017-01-01,1,305.44,305.44
DF,brasilia,2017-01-01,13,2812.11,112.4844
ES,itaipava,2017-01-01,1,94.04,47.02
ES,vila velha,2017-01-01,1,1482.36,741.18
ES,cachoeiro de itapemirim,2017-01-01,1,135.92,67.96
ES,boa esperanca,2017-01-01,1,742.1,371.05
ES,serra,2017-01-01,1,58.84,29.42
ES,iconha,2017-01-01,1,70.84,35.42
ES,vitoria,2017-01-01,3,755.44,125.906666666667
ES,fundao,2017-01-01,2,1645.62,411.405
GO,aparecida de goiania,2017-01-01,1,83.36,41.68
GO,vicentinopolis,2017-01-01,1,50.95,50.95
GO,pires do rio,2017-01-01,1,139.53,139.53
GO,novo gama,2017-01-01,1,313.16,156.58
GO,crixas,2017-01-01,1,174.74,87.37
GO,jatai,2017-01-01,2,438.36,146.12
GO,rio verde,2017-01-01,1,374.28,374.28
GO,ipora,2017-01-01,2,447.26,74.5433333333334
GO,maurilandia,2017-01-01,1,211.48,105.74
GO,goiania,2017-01-01,6,3917.5,89.0340909090909
GO,santa fe de goias,2017-01-01,1,2653.58,1326.79
MA,buriticupu,2017-01-01,2,318.3,79.575
MA,boa vista do gurupi,2017-01-01,1,90.61,90.61
MA,sao pedro da agua branca,2017-01-01,1,673.12,336.56
MA,pindare mirim,2017-01-01,1,38.0,38.0
MA,sao luis,2017-01-01,2,247.89,82.63
MG,pocos de caldas,2017-01-01,3,1481.76,77.9873684210526
MG,ouro branco,2017-01-01,1,120.82,60.41
MG,contagem,2017-01-01,4,1012.11,168.685
MG,sao joao del rei,2017-01-01,1,778.86,389.43
MG,lagoa santa,2017-01-01,1,249.68,124.84
MG,pedro leopoldo,2017-01-01,1,436.16,54.52
MG,santa rita do sapucai,2017-01-01,2,340.6,113.533333333333
MG,governador valadares,2017-01-01,1,308.58,154.29
MG,sao sebastiao do paraiso,2017-01-01,1,295.98,147.99
MG,congonhas,2017-01-01,1,400.9,200.45
MG,sete lagoas,2017-01-01,2,1083.44,270.86
MG,cruzeiro da fortaleza,2017-01-01,1,182.14,91.07
MG,piedade dos gerais,2017-01-01,1,735.3,367.65
MG,mariana,2017-01-01,1,556.14,278.07
MG,ibirite,2017-01-01,3,648.2,108.033333333333
MG,caratinga,2017-01-01,2,991.78,247.945
MG,coronel fabriciano,2017-01-01,2,509.46,127.365
MG,aracitaba,2017-01-01,1,64.42,64.42
MG,gouveia,2017-01-01,1,838.12,419.06
MG,carmo do cajuru,2017-01-01,1,145.0,72.5
MG,itamarandiba,2017-01-01,1,595.98,297.99
MG,martinho campos,2017-01-01,1,419.06,419.06
MG,santa luzia,2017-01-01,1,175.28,175.28
MG,santana da vargem,2017-01-01,1,90.98,45.49
MG,joao monlevade,2017-01-01,1,64.94,32.47
MG,lavras,2017-01-01,1,74.49,74.49
MG,barao de cocais,2017-01-01,1,40.95,40.95
MG,conselheiro lafaiete,2017-01-01,1,120.84,60.42
MG,belo horizonte,2017-01-01,16,4652.73,140.991818181818
MG,formiga,2017-01-01,1,838.12,419.06
MG,juiz de fora,2017-01-01,3,1507.72,188.465
MG,sao pedro dos ferros,2017-01-01,1,144.07,144.07
MG,iapu,2017-01-01,1,273.9,273.9
MG,alvinopolis,2017-01-01,1,77.06,77.06
MG,uberlandia,2017-01-01,1,634.74,317.37
MG,itabira,2017-01-01,4,1307.66,163.4575
MG,barbacena,2017-01-01,1,310.84,155.42
MG,ribeirao das neves,2017-01-01,1,230.54,115.27
MG,nova serrana,2017-01-01,1,670.0,335.0
MG,mantena,2017-01-01,1,131.78,65.89
MG,uberaba,2017-01-01,4,632.47,57.4972727272727
MG,sabara,2017-01-01,2,214.9,71.6333333333333
MG,santos dumont,2017-01-01,1,175.8,87.9
MG,juvenilia,2017-01-01,1,55.98,27.99
MG,ouro preto,2017-01-01,2,313.92,78.48
MG,araxa,2017-01-01,1,577.6,144.4
MG,itajuba,2017-01-01,3,348.08,43.51
MG,ubaporanga,2017-01-01,1,289.82,144.91
MG,monte carmelo,2017-01-01,1,73.64,36.82
MG,extrema,2017-01-01,1,201.47,201.47
MG,carrancas,2017-01-01,1,151.06,75.53
MG,cachoeira de minas,2017-01-01,1,137.9,137.9
MG,bocaiuva,2017-01-01,1,83.8,41.9
MG,paracatu,2017-01-01,1,295.98,147.99
MG,teofilo otoni,2017-01-01,2,357.65,119.216666666667
MG,manhuacu,2017-01-01,1,211.48,105.74
MG,ipatinga,2017-01-01,2,302.93,50.4883333333333
MG,montes claros,2017-01-01,2,987.2,82.2666666666667
MG,divinopolis,2017-01-01,2,1616.98,404.245
MG,alpinopolis,2017-01-01,1,57.51,57.51
MG,virgolandia,2017-01-01,1,420.16,210.08
MG,muzambinho,2017-01-01,1,281.82,140.91
MG,passos,2017-01-01,1,124.38,62.19
MG,araujos,2017-01-01,1,419.06,419.06
MS,campo grande,2017-01-01,1,170.36,170.36
MT,agua boa,2017-01-01,1,73.98,36.99
MT,rondonopolis,2017-01-01,2,962.22,120.2775
MT,barra do garcas,2017-01-01,1,243.24,121.62
MT,primavera do leste,2017-01-01,1,130.72,32.68
MT,varzea grande,2017-01-01,1,288.0,144.0
MT,cuiaba,2017-01-01,5,2746.32,249.665454545455
PA,castanhal,2017-01-01,1,291.8,145.9
PA,santana do araguaia,2017-01-01,1,1972.64,493.16
PA,santa isabel do para,2017-01-01,1,328.35,328.35
PA,conceicao do araguaia,2017-01-01,1,812.28,406.14
PA,vigia,2017-01-01,1,169.62,84.81
PA,belem,2017-01-01,6,1493.57,135.779090909091
PA,ananindeua,2017-01-01,1,89.48,44.74
PB,catole do rocha,2017-01-01,1,757.22,378.61
PB,joao pessoa,2017-01-01,1,84.52,84.52
PE,olinda,2017-01-01,1,195.44,195.44
PE,cha grande,2017-01-01,1,186.49,186.49
PE,carpina,2017-01-01,1,144.0,144.0
PE,recife,2017-01-01,2,327.79,163.895
PE,timbauba,2017-01-01,1,119.66,59.83
PE,caruaru,2017-01-01,1,757.22,378.61
PE,tracunhaem,2017-01-01,1,1379.74,689.87
PE,camaragibe,2017-01-01,1,169.9,169.9
PI,sao raimundo nonato,2017-01-01,1,139.88,69.94
PI,floriano,2017-01-01,1,1420.0,710.0
PI,teresina,2017-01-01,5,1208.39,134.265555555556
PR,cascavel,2017-01-01,2,317.04,105.68
PR,palmas,2017-01-01,1,120.5,120.5
PR,dois vizinhos,2017-01-01,2,380.84,63.4733333333333
PR,janiopolis,2017-01-01,1,99.96,24.99
PR,loanda,2017-01-01,1,859.4,429.7
PR,mangueirinha,2017-01-01,1,1693.04,423.26
PR,maringa,2017-01-01,4,893.72,148.953333333333
PR,saudade do iguacu,2017-01-01,1,66.9,66.9
PR,curitiba,2017-01-01,39,3301.55,48.5522058823529
PR,paranagua,2017-01-01,1,47.8,23.9
PR,guaratuba,2017-01-01,1,363.74,363.74
PR,ampere,2017-01-01,1,395.82,197.91
PR,araucaria,2017-01-01,1,76.84,38.42
PR,urai,2017-01-01,1,175.8,87.9
PR,cianorte,2017-01-01,1,153.68,38.42
PR,faxinal,2017-01-01,1,460.22,460.22
PR,matinhos,2017-01-01,1,77.99,77.99
PR,cornelio procopio,2017-01-01,1,735.98,367.99
PR,londrina,2017-01-01,1,201.28,100.64
PR,ponta grossa,2017-01-01,1,234.54,117.27
PR,foz do iguacu,2017-01-01,1,89.8,44.9
PR,pinhais,2017-01-01,1,135.8,67.9
RJ,petropolis,2017-01-01,1,128.84,64.42
RJ,barra mansa,2017-01-01,1,51.02,25.51
RJ,rio de janeiro,2017-01-01,49,13503.42,137.79
RJ,tres irmaos,2017-01-01,1,171.2,85.6
RJ,marica,2017-01-01,1,161.65,161.65
RJ,teresopolis,2017-01-01,1,269.98,134.99
RJ,comendador levy gasparian,2017-01-01,1,67.04,33.52
RJ,campos dos goytacazes,2017-01-01,1,59.47,59.47
RJ,itaocara,2017-01-01,1,78.84,39.42
RJ,barra do pirai,2017-01-01,1,391.4,195.7
RJ,nilopolis,2017-01-01,1,299.98,149.99
RJ,sao joao de meriti,2017-01-01,1,129.02,64.51
RJ,paraty,2017-01-01,1,128.92,64.46
RJ,mage,2017-01-01,1,72.08,36.04
RJ,guapimirim,2017-01-01,1,138.9,69.45
RJ,resende,2017-01-01,2,1383.2,172.9
RJ,porto real,2017-01-01,1,233.8,116.9
RJ,sao goncalo,2017-01-01,3,2882.56,480.426666666667
RJ,varre-sai,2017-01-01,1,328.42,164.21
RJ,duque de caxias,2017-01-01,5,499.47,71.3528571428571
RJ,rio das ostras,2017-01-01,2,302.28,75.57
RJ,angra dos reis,2017-01-01,2,547.43,182.476666666667
RJ,carmo,2017-01-01,1,249.68,124.84
RJ,itaborai,2017-01-01,2,930.73,310.243333333333
RJ,nova iguacu,2017-01-01,6,2817.82,234.818333333333
RJ,niteroi,2017-01-01,5,1177.65,90.5884615384615
RJ,nova friburgo,2017-01-01,2,714.62,71.462
RJ,volta redonda,2017-01-01,1,117.34,117.34
RN,parnamirim,2017-01-01,1,365.28,182.64
RN,natal,2017-01-01,4,1433.76,238.96
RO,rolim de moura,2017-01-01,1,418.12,209.06
RO,porto velho,2017-01-01,2,616.45,308.225
RS,faxinalzinho,2017-01-01,1,35.95,35.95
RS,esteio,2017-01-01,1,79.9,39.95
RS,veranopolis,2017-01-01,1,338.8,28.2333333333333
RS,santiago,2017-01-01,3,288.34,48.0566666666667
RS,frederico westphalen,2017-01-01,1,166.06,83.03
RS,dom pedrito,2017-01-01,1,1382.0,691.0
RS,boa vista das missoes,2017-01-01,1,735.12,367.56
RS,canoas,2017-01-01,5,1803.18,69.3530769230769
RS,pelotas,2017-01-01,1,295.98,147.99
RS,sapucaia do sul,2017-01-01,1,475.96,237.98
RS,porto alegre,2017-01-01,10,5533.96,251.543636363636
RS,quarai,2017-01-01,1,4435.98,2217.99
RS,gravatai,2017-01-01,2,284.64,71.16
RS,tupandi,2017-01-01,1,169.98,84.99
RS,santa maria,2017-01-01,1,303.4,151.7
RS,santo antonio da patrulha,2017-01-01,1,369.78,369.78
RS,lajeado,2017-01-01,1,89.9,44.95
RS,trindade do sul,2017-01-01,1,2023.0,2023.0
RS,teutonia,2017-01-01,2,650.64,81.33
RS,feliz,2017-01-01,1,108.16,27.04
RS,sete de setembro,2017-01-01,1,75.73,75.73
RS,jari,2017-01-01,1,91.14,45.57
RS,redentora,2017-01-01,1,179.83,179.83
RS,cachoeirinha,2017-01-01,2,225.18,37.53
RS,formigueiro,2017-01-01,1,495.8,247.9
RS,bento goncalves,2017-01-01,1,547.24,273.62
RS,campos borges,2017-01-01,1,735.0,735.0
RS,sao leopoldo,2017-01-01,1,309.32,154.66
RS,sapiranga,2017-01-01,1,558.3,279.15
RS,encruzilhada do sul,2017-01-01,1,149.99,149.99
RS,novo hamburgo,2017-01-01,2,462.38,115.595
RS,caxias do sul,2017-01-01,2,217.57,72.5233333333333
RS,campo bom,2017-01-01,1,363.68,181.84
SC,presidente getulio,2017-01-01,1,161.1,80.55
SC,ararangua,2017-01-01,1,109.9,109.9
SC,joinville,2017-01-01,1,517.59,517.59
SC,blumenau,2017-01-01,3,571.9,95.3166666666667
SC,itajai,2017-01-01,1,275.0,27.5
SC,navegantes,2017-01-01,1,229.65,229.65
SC,sao joao do itaperiu,2017-01-01,1,1565.48,782.74
SC,balneario camboriu,2017-01-01,1,751.05,375.525
SC,santa cecilia,2017-01-01,2,541.52,135.38
SC,tubarao,2017-01-01,1,91.04,45.52
SC,itapema,2017-01-01,1,382.8,191.4
SC,florianopolis,2017-01-01,3,970.7,121.3375
SC,sao miguel do oeste,2017-01-01,1,209.3,104.65
SC,jaragua do sul,2017-01-01,1,479.28,239.64
SC,lages,2017-01-01,1,270.6,135.3
SC,ituporanga,2017-01-01,1,927.08,463.54
SC,videira,2017-01-01,1,513.58,256.79
SC,sao jose,2017-01-01,2,385.06,96.265
SC,cocal do sul,2017-01-01,1,279.18,139.59
SC,vargem bonita,2017-01-01,1,398.72,199.36
SC,palhoca,2017-01-01,1,315.6,78.9
SC,imbituba,2017-01-01,1,1371.38,685.69
SC,tijucas,2017-01-01,1,1154.0,577.0
SC,xaxim,2017-01-01,1,92.04,46.02
SC,criciuma,2017-01-01,1,372.92,186.46
SE,itabaiana,2017-01-01,1,88.29,88.29
SE,sao cristovao,2017-01-01,1,334.64,167.32
SE,aracaju,2017-01-01,2,126.17,63.085
SP,mococa,2017-01-01,1,433.2,216.6
SP,embu-guacu,2017-01-01,1,245.08,122.54
SP,sabino,2017-01-01,1,434.0,217.0
SP,registro,2017-01-01,1,655.8,327.9
SP,pitangueiras,2017-01-01,1,165.8,82.9
SP,mogi das cruzes,2017-01-01,2,410.8,68.4666666666667
SP,guaruja,2017-01-01,6,1665.1,138.758333333333
SP,guararema,2017-01-01,1,215.8,107.9
SP,varzea paulista,2017-01-01,1,81.78,81.78
SP,campo limpo paulista,2017-01-01,1,113.72,56.86
SP,botucatu,2017-01-01,1,299.14,149.57
SP,taboao da serra,2017-01-01,2,667.32,222.44
SP,hortolandia,2017-01-01,1,190.0,95.0
SP,barretos,2017-01-01,1,150.22,150.22
SP,viradouro,2017-01-01,1,218.02,36.3366666666667
SP,ribeirao preto,2017-01-01,4,898.34,128.334285714286
SP,caieiras,2017-01-01,2,613.82,204.606666666667
SP,mairinque,2017-01-01,1,786.3,131.05
SP,taquaritinga,2017-01-01,1,154.12,77.06
SP,salto de pirapora,2017-01-01,1,83.86,41.93
SP,capivari,2017-01-01,2,581.22,145.305
SP,sao bernardo do campo,2017-01-01,6,1489.38,93.08625
SP,sao carlos,2017-01-01,5,617.8,68.6444444444444
SP,jarinu,2017-01-01,1,391.06,195.53
SP,praia grande,2017-01-01,1,275.6,68.9
SP,bastos,2017-01-01,1,104.22,52.11
SP,sao paulo,2017-01-01,96,30545.19,148.277621359223
SP,vargem,2017-01-01,1,60.64,60.64
SP,itaquaquecetuba,2017-01-01,1,82.97,82.97
SP,bom jesus dos perdoes,2017-01-01,1,255.8,127.9
SP,sorocaba,2017-01-01,3,848.56,141.426666666667
SP,monte azul paulista,2017-01-01,1,110.7,110.7
SP,santa barbara d'oeste,2017-01-01,2,628.0,157.0
SP,indaiatuba,2017-01-01,3,558.94,139.735
SP,santo andre,2017-01-01,2,776.72,194.18
SP,sao caetano do sul,2017-01-01,3,1838.08,229.76
SP,bariri,2017-01-01,1,302.74,151.37
SP,franco da rocha,2017-01-01,2,303.14,101.046666666667
SP,areias,2017-01-01,1,208.6,104.3
SP,sao jose dos campos,2017-01-01,5,724.95,90.61875
SP,nova odessa,2017-01-01,1,56.03,56.03
SP,embu,2017-01-01,2,509.58,101.916
SP,rio claro,2017-01-01,4,606.53,121.306
SP,santos,2017-01-01,4,574.6,71.825
SP,cristais paulista,2017-01-01,1,114.77,114.77
SP,osasco,2017-01-01,1,75.9,37.95
SP,ipaussu,2017-01-01,1,331.8,165.9
SP,mogi mirim,2017-01-01,1,76.05,76.05
SP,atibaia,2017-01-01,2,72.79,36.395
SP,itatiba,2017-01-01,1,108.12,54.06
SP,valinhos,2017-01-01,4,505.15,101.03
SP,presidente prudente,2017-01-01,2,145.1,36.275
SP,ribeirao pires,2017-01-01,1,392.64,196.32
SP,caraguatatuba,2017-01-01,1,295.8,147.9
SP,sao roque,2017-01-01,1,332.58,55.43
SP,brotas,2017-01-01,1,303.72,151.86
SP,pirassununga,2017-01-01,1,524.0,131.0
SP,mogi-guacu,2017-01-01,3,1303.4,56.6695652173913
SP,itapecerica da serra,2017-01-01,1,76.84,38.42
SP,jacarei,2017-01-01,1,958.56,239.64
SP,taquarivai,2017-01-01,1,231.42,115.71
SP,araraquara,2017-01-01,1,45.86,45.86
SP,holambra,2017-01-01,2,234.3,58.575
SP,cravinhos,2017-01-01,1,91.0,45.5
SP,vinhedo,2017-01-01,1,339.53,339.53
SP,salto,2017-01-01,1,162.0,81.0
SP,mirassol,2017-01-01,1,81.72,40.86
SP,matao,2017-01-01,1,1419.86,709.93
SP,jandira,2017-01-01,3,419.94,69.99
SP,campinas,2017-01-01,7,1383.8,92.2533333333333
SP,tatui,2017-01-01,2,1125.96,112.596
SP,angatuba,2017-01-01,1,190.0,95.0
SP,jambeiro,2017-01-01,1,206.92,51.73
SP,cesario lange,2017-01-01,1,80.72,40.36
SP,votorantim,2017-01-01,1,81.57,81.57
SP,piracicaba,2017-01-01,3,1173.48,234.696
SP,lins,2017-01-01,1,174.54,87.27
SP,franca,2017-01-01,2,388.34,64.7233333333333
SP,cacapava,2017-01-01,2,170.03,56.6766666666667
SP,jales,2017-01-01,1,121.72,60.86
SP,porto ferreira,2017-01-01,1,44.92,22.46
SP,ibiuna,2017-01-01,1,83.86,41.93
SP,maua,2017-01-01,1,179.9,179.9
SP,aruja,2017-01-01,1,202.71,202.71
SP,jundiai,2017-01-01,6,961.88,106.875555555556
SP,ourinhos,2017-01-01,2,297.68,74.42
SP,campos do jordao,2017-01-01,1,148.98,74.49
SP,santa cruz do rio pardo,2017-01-01,1,141.86,70.93
SP,itapetininga,2017-01-01,1,239.64,239.64
SP,francisco morato,2017-01-01,1,50.92,25.46
SP,lorena,2017-01-01,1,119.92,59.96
SP,braganca paulista,2017-01-01,1,353.5,176.75
SP,cajamar,2017-01-01,1,101.92,101.92
